quantity_required,quantity_available,quality_required,quality_available,target_price,farmer_price,days_required,days_to_harvest,distance_km,match_score
3,2.0,B,A,32,40,5,2,25,81.74
3,2.4,B,A,38,45,10,14,6,81.18
2,0.9,A,A,28,32,7,10,20,70.73
10,4.9,B,A,33,33,10,3,21,78.82
3,2.5,A,A,37,38,9,13,29,82.91
3,4.3,A,A,27,33,5,11,40,70.78
3,3.5,A,A,20,22,6,7,35,88.57
5,6.1,A,B,31,26,6,14,59,44.89
8,5.5,B,A,36,43,5,9,34,67.38
8,5.4,A,A,31,26,6,5,49,77.26
2,1.8,A,B,27,23,4,4,56,57.18
8,6.9,A,B,30,30,7,15,6,54.96
2,2.6,A,A,25,29,7,3,58,86.66
5,5.0,B,A,30,33,5,5,20,94.26
5,5.3,A,B,34,32,9,13,59,57.34
3,1.3,A,B,20,25,10,15,46,37.81
5,2.6,A,A,32,37,8,9,5,81.49
3,4.2,B,B,22,26,4,9,49,69.9
2,1.0,A,A,40,45,10,12,10,76.45
5,3.7,B,B,32,31,9,3,14,87.32
10,5.8,A,B,24,26,5,8,9,50.08
3,2.1,B,A,29,23,11,4,53,77.61
10,5.6,A,A,26,29,9,8,34,75.89
5,7.2,B,B,25,24,4,3,31,91.41
3,3.9,A,A,20,17,4,5,54,82.85
2,3.0,B,A,22,29,4,14,10,75.0
5,2.3,A,B,21,28,11,13,27,43.99
8,5.1,B,A,25,25,9,6,30,84.66
2,1.9,A,B,40,33,8,3,19,65.73
8,5.4,A,A,40,44,12,14,47,75.79
10,7.5,B,B,31,28,12,2,22,86.55
2,2.0,B,A,21,17,11,3,17,93.42
5,4.0,A,A,27,24,10,5,39,83.25
5,5.1,A,A,31,38,6,10,21,79.99
2,2.1,A,A,21,23,7,9,2,92.74
10,11.9,A,B,24,17,9,2,11,67.31
3,4.4,A,B,36,40,9,11,8,67.19
5,6.4,A,B,25,27,10,4,47,65.87
10,8.2,B,B,27,23,6,4,48,80.04
10,6.0,B,B,38,37,4,12,38,63.29
8,5.3,A,B,30,27,5,12,58,39.73
5,3.2,B,A,20,20,8,6,52,77.63
2,2.4,A,A,32,37,11,9,58,86.39
10,12.7,B,A,23,20,11,9,6,97.39
2,1.4,B,A,20,16,9,7,12,86.15
3,2.3,A,B,37,29,5,8,43,44.74
8,6.1,A,A,21,21,5,13,37,71.36
10,6.6,B,A,29,33,8,11,37,75.38
3,2.6,A,B,31,38,4,5,8,59.24
3,4.0,B,B,22,27,11,9,33,90.43
5,4.1,A,B,40,44,12,7,13,64.78
5,3.2,B,B,34,27,8,4,50,75.87
2,1.7,A,A,31,24,12,15,26,83.31
8,7.4,B,A,38,42,7,15,47,69.38
10,5.9,A,A,23,21,11,14,14,77.57
8,12.0,A,A,33,33,7,7,60,90.91
2,1.7,A,B,32,32,12,10,31,65.97
2,1.1,B,A,23,18,10,11,51,69.06
5,4.1,B,B,33,40,8,2,13,86.86
3,4.1,B,B,21,26,10,5,5,95.22
5,6.5,B,B,20,19,9,6,55,88.97
2,2.9,A,B,24,26,8,6,48,63.4
2,2.8,A,B,34,41,7,14,35,50.35
2,2.4,A,B,22,19,8,14,56,51.12
10,13.6,A,A,25,18,7,5,4,93.43
5,6.5,A,B,28,23,9,12,3,64.8
8,8.4,B,B,25,28,11,4,55,89.18
2,0.9,B,A,20,28,10,5,43,65.8
3,2.9,B,A,40,47,10,4,43,85.59
2,2.4,A,B,28,33,8,8,56,60.82
5,5.7,A,B,34,29,8,2,34,67.26
5,4.6,B,B,29,29,5,12,22,79.65
5,4.8,B,A,26,19,6,14,56,69.62
10,11.9,B,B,30,31,6,6,60,89.01
8,6.2,A,A,38,45,7,12,24,74.08
3,2.8,A,B,29,26,5,12,59,45.27
2,2.4,A,B,31,36,7,14,58,46.1
5,4.6,B,A,34,41,5,5,34,85.16
8,10.9,B,A,33,29,4,5,23,88.86
10,13.5,B,A,24,18,9,9,23,90.92
3,1.2,B,B,40,38,4,14,51,54.67
3,3.2,B,B,22,27,6,8,32,83.59
2,2.8,A,A,31,23,4,12,2,79.95
3,1.6,A,B,31,39,8,11,21,44.68
2,2.4,B,B,29,34,11,12,10,92.56
8,11.5,B,B,26,18,6,5,16,91.55
3,1.8,A,B,20,26,12,12,52,45.15
5,5.6,A,A,39,32,4,13,9,79.28
8,7.4,A,A,37,35,8,13,45,78.82
5,3.5,B,A,23,28,12,15,59,71.32
10,12.6,A,B,29,27,5,11,14,56.93
10,7.2,A,A,31,38,10,5,46,79.62
5,5.7,A,A,20,28,4,11,44,68.18
2,2.2,A,B,23,24,8,6,31,66.13
3,3.8,A,B,29,34,9,13,9,61.47
2,1.5,A,B,24,24,6,13,7,50.59
5,4.2,A,B,23,23,10,15,26,58.26
8,4.2,B,A,40,37,6,3,28,80.29
8,10.1,B,A,25,21,10,9,60,86.75
8,5.5,B,B,21,15,5,13,57,60.62
10,9.8,A,A,30,35,12,12,48,85.46
5,6.9,B,A,24,16,12,12,12,90.96
8,9.8,B,B,25,24,5,7,19,87.6
3,1.5,B,B,32,38,7,3,56,71.24
5,2.6,A,B,35,28,4,10,37,32.2
2,1.3,B,B,36,38,12,7,54,76.61
3,3.7,B,B,30,33,12,13,30,89.21
3,3.9,A,B,30,38,9,7,46,58.89
3,1.6,B,A,24,22,10,3,56,73.9
8,9.9,A,A,30,25,5,14,59,71.47
10,9.8,A,A,35,40,4,15,39,73.67
10,12.0,A,A,38,33,6,8,44,83.97
5,3.5,B,B,33,34,7,9,53,74.64
8,9.5,B,A,37,35,9,5,41,91.58
5,4.8,A,B,40,35,6,14,24,51.75
10,13.7,B,B,37,29,8,10,8,88.43
3,2.1,A,A,21,19,7,12,18,73.37
2,0.9,B,B,26,21,12,11,57,70.36
10,8.3,A,B,40,33,12,8,26,60.87
5,3.1,A,B,20,28,8,5,60,46.14
5,4.5,A,A,26,23,8,4,49,84.95
8,8.1,A,A,33,30,8,11,56,81.58
5,2.8,B,B,24,17,4,14,42,58.03
5,4.0,B,B,38,46,12,5,13,87.27
10,9.9,A,A,33,36,12,5,58,86.74
5,3.2,B,B,31,23,8,3,44,74.62
3,2.5,A,A,21,21,9,6,36,88.7
2,1.8,B,A,36,37,12,12,14,92.93
2,2.0,A,A,25,23,12,12,42,91.09
8,10.5,A,B,26,20,12,13,45,58.75
8,3.8,B,A,21,27,5,6,37,66.42
3,2.7,B,B,33,38,10,7,3,92.93
2,2.5,A,A,40,34,5,7,34,82.62
5,4.1,A,A,29,36,11,4,36,81.45
8,5.8,B,B,40,32,6,10,57,67.97
2,2.0,A,A,20,19,10,5,49,90.17
5,2.8,A,A,33,32,12,11,55,75.2
2,2.7,A,B,38,32,4,6,44,53.81
2,2.9,A,B,38,34,11,12,43,61.87
5,4.7,A,B,26,27,9,13,39,56.57
10,5.9,B,B,30,29,10,14,16,78.68
8,9.2,B,B,31,38,6,9,30,81.42
5,3.0,B,A,37,37,5,15,54,61.56
10,12.0,A,A,28,36,5,12,3,79.94
10,14.0,B,B,38,45,7,12,51,74.2
8,4.4,A,A,38,42,8,7,34,75.64
3,2.7,A,A,36,32,6,13,48,70.11
5,3.3,A,B,27,30,11,5,4,62.45
10,14.1,B,A,32,25,11,12,22,88.27
10,10.3,B,B,28,32,12,7,39,89.96
2,1.9,B,B,32,35,7,9,52,82.27
10,8.8,A,A,36,30,6,10,43,73.59
3,3.2,A,A,25,24,9,8,53,88.52
2,1.3,B,A,35,40,11,2,17,81.42
10,4.4,A,A,24,17,12,4,18,75.46
10,13.7,B,B,39,33,4,5,30,87.6
8,10.5,B,A,25,22,7,11,44,80.27
3,2.0,B,B,34,30,5,3,3,85.86
10,6.0,B,A,24,32,5,14,9,62.91
3,2.9,A,B,40,33,10,13,35,58.72
8,6.9,B,B,31,38,5,14,16,74.8
2,1.7,B,A,39,31,12,13,49,81.51
10,8.1,A,A,36,38,4,8,25,71.62
8,6.9,B,B,28,28,12,12,27,91.49
8,8.1,B,B,25,25,9,6,38,91.78
8,7.1,A,A,23,18,7,5,34,85.08
5,7.3,A,A,25,19,10,15,11,85.39
10,6.9,B,B,22,17,5,11,4,71.25
8,11.5,B,A,39,46,4,9,2,79.82
10,12.6,B,A,26,23,4,12,4,81.33
2,2.5,A,B,22,27,8,8,39,61.46
2,1.4,A,B,22,26,12,15,19,53.72
3,2.1,B,B,32,40,4,3,37,76.89
5,7.3,B,B,23,29,12,8,38,87.12
3,4.2,B,A,34,41,11,3,18,90.55
3,4.4,A,A,30,30,10,5,20,94.37
5,4.6,A,B,37,35,6,11,19,53.95
3,3.6,B,B,26,24,7,5,14,97.0
10,5.3,B,A,24,31,5,11,2,65.72
10,10.8,A,B,35,35,9,9,13,74.34
10,12.3,B,A,32,25,7,10,53,78.89
10,8.3,A,A,36,42,9,3,46,82.44
5,4.1,A,A,20,20,7,7,41,87.85
3,2.8,B,B,27,30,8,4,33,88.87
8,5.7,B,A,31,27,10,11,45,77.21
2,1.8,B,B,27,25,12,4,53,87.36
3,2.6,B,A,20,28,6,12,35,66.14
5,5.1,B,A,29,33,8,3,46,86.69
3,2.7,B,B,35,35,5,7,25,86.24
5,2.7,B,A,20,24,10,11,43,72.7
